Table S1: Mixture design detail of Alkali-activated concrete corresponding to the compressive strength and slump flow rate under different curing conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly Ash type,Si02 ,Al2O3,Cao,MnO ,MgO,Na2O,K2O,TiO2,P205,Amorphous Content,W/FA,Alk/FA,Fly Ash,Sodium Silicate,Sodium Hydroxide,Water,Slump Flow,Water Percentage in Solution,CS (oven),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unitless,%,%,%,%,%,%,%,%,%,%,Unitless,Unitless,kg. m-3,kg. m-3,kg. m-3,kg. m-3,Inch,%,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.00,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.55,0.25,304.00,38.10,38.10,129.90,12.00,63.02765648,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.25,400.00,50.00,50.00,120.50,12.00,54.64852608,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.35,0.30,400.00,60.10,60.10,74.60,0.00,38.29568789,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.45,0.30,400.00,60.10,60.10,114.50,8.50,48.78568385,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.50,0.30,400.00,60.10,60.10,134.60,7.00,52.82574568,16.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,400.00,60.10,60.10,104.40,7.50,46.4826358,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.00,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.38,0.28,400.00,54.90,54.90,91.00,0.00,45.3187251,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.28,400.00,54.90,54.90,100.90,8.00,47.88799241,27.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.39,0.25,400.00,50.00,50.00,103.20,8.20,50.78740157,22.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,469.00,70.50,70.50,120.50,0.00,46.08030593,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.45,0.30,450.00,67.40,67.40,127.00,11.00,48.51031322,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,450.00,67.40,67.40,116.00,6.50,46.25199362,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.43,0.30,400.00,60.10,60.10,104.60,8.25,46.53024911,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,0.50,44.06700791,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,4.50,44.06700791,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,2.50,44.06700791,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00,40.40,17.50,24.10,0.05,9.39,1.17,0.48,1.40,0.79,76.70,0.40,0.30,400.00,60.10,60.10,94.70,6.25,44.06700791,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
